"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","imprinted_status"
"101","ENSG00000175262","C1orf127","1",10946471,10982037,"normal"
"102","ENSG00000279457","WASH9P","1",185217,195411,"normal"
"103","ENSG00000162571","TTLL10","1",1173880,1197936,"normal"
"104","ENSG00000231181","","1",9576427,9576985,"normal"
"105","ENSG00000238173","RPL39P6","1",11232963,11233112,"normal"
"106","ENSG00000158109","TPRG1L","1",3625015,3630127,"normal"
"107","ENSG00000229393","","1",2493437,2494479,"normal"
"108","ENSG00000269978","","1",7700704,7700970,"normal"
"109","ENSG00000037637","FBXO42","1",16246840,16352480,"normal"
"110","ENSG00000184163","C1QTNF12","1",1242446,1246722,"normal"
"111","ENSG00000287586","","1",4730211,4734992,"normal"
"112","ENSG00000159423","ALDH4A1","1",18871430,18902724,"normal"
"113","ENSG00000142599","RERE","1",8352397,8848921,"normal"
"114","ENSG00000227169","","1",4551735,4552145,"normal"
"115","ENSG00000283356","","1",5554747,5554881,"normal"
"116","ENSG00000011021","CLCN6","1",11806096,11848079,"normal"
"117","ENSG00000272482","","1",12618900,12619244,"normal"
"118","ENSG00000284747","","1",7991134,8005312,"normal"
"119","ENSG00000215912","TTC34","1",2635976,2801717,"normal"
"120","ENSG00000120952","PRAMEF2","1",12857086,12861909,"normal"
"121","ENSG00000243073","PRAMEF4","1",12879212,12886201,"normal"
"122","ENSG00000142615","CELA2A","1",15456728,15472091,"normal"
"123","ENSG00000215704","CELA2B","1",15465909,15491395,"normal"
"124","ENSG00000157916","RER1","1",2391775,2405442,"normal"
"125","ENSG00000157881","PANK4","1",2508537,2526597,"normal"
"126","ENSG00000116213","WRAP73","1",3630767,3652761,"normal"
"127","ENSG00000283611","TMEM274P","1",9950572,9960787,"normal"
"128","ENSG00000238290","ERRFI1-DT","1",8026738,8122702,"normal"
"129","ENSG00000225387","","1",18385829,18388514,"normal"
"130","ENSG00000048707","VPS13D","1",12230030,12512047,"normal"
"131","ENSG00000158748","HTR6","1",19664875,19680966,"normal"
"132","ENSG00000235643","LINC01647","1",11609468,11613358,"normal"
"133","ENSG00000225196","RPL10P17","1",12220794,12221109,"normal"
"134","ENSG00000130762","ARHGEF16","1",3454665,3481113,"normal"
"135","ENSG00000162444","RBP7","1",9997206,10016021,"normal"
"136","ENSG00000279169","PRAMEF13","1",13196188,13201409,"normal"
"137","ENSG00000279625","","1",22364630,22366482,"normal"
"138","ENSG00000180758","GPR157","1",9100305,9129102,"normal"
"139","ENSG00000231219","PRAMEF32P","1",13273539,13275627,"normal"
"140","ENSG00000184677","ZBTB40","1",22428838,22531157,"normal"
"141","ENSG00000230679","ENO1-AS1","1",8878835,8879894,"normal"
"142","ENSG00000270136","MICOS10-NBL1","1",19597067,19656927,"normal"
"143","ENSG00000132879","FBXO44","1",11654375,11663327,"normal"
"144","ENSG00000187545","PRAMEF10","1",12892896,12898270,"normal"
"145","ENSG00000288398","","1",16228674,16231335,"normal"
"146","ENSG00000224621","","1",16159266,16161883,"normal"
"147","ENSG00000239810","PRAMEF11","1",12824605,12831410,"normal"
"148","ENSG00000285833","","1",11500803,11502016,"normal"
"149","ENSG00000116721","PRAMEF1","1",12791397,12796628,"normal"
"150","ENSG00000215785","CFL1P6","1",10990978,10991797,"normal"
"151","ENSG00000131697","NPHP4","1",5862811,5992473,"normal"
"152","ENSG00000284692","","1",5478736,5493057,"normal"
"153","ENSG00000284745","","1",2960658,2968707,"normal"
"154","ENSG00000280222","","1",18109389,18115861,"normal"
"155","ENSG00000188807","TMEM201","1",9588911,9614877,"normal"
"156","ENSG00000227634","LINC01714","1",8201518,8215210,"normal"
"157","ENSG00000198793","MTOR","1",11106535,11262551,"normal"
"158","ENSG00000078900","TP73","1",3652516,3736201,"imprinted"
"159","ENSG00000285945","","1",2768091,2784733,"normal"
"160","ENSG00000171819","ANGPTL7","1",11189355,11195981,"normal"
"161","ENSG00000229162","RUNX3-AS1","1",24961345,24963097,"normal"
"162","ENSG00000197921","HES5","1",2528745,2530263,"normal"
"163","ENSG00000233755","","1",25043707,25113120,"normal"
"164","ENSG00000116288","PARK7","1",7954291,7985505,"normal"
"165","ENSG00000238164","TNFRSF14-AS1","1",2549920,2557031,"normal"
"166","ENSG00000233929","MT1XP1","1",16241213,16241398,"normal"
"167","ENSG00000271742","","1",15682873,15683128,"normal"
"168","ENSG00000226396","","1",19608114,19608568,"normal"
"169","ENSG00000232423","PRAMEF6","1",12938472,12947580,"normal"
"170","ENSG00000229247","","1",26640377,26640614,"normal"
"171","ENSG00000169504","CLIC4","1",24745382,24844321,"normal"
"172","ENSG00000224311","WDTC1-DT","1",27229106,27234352,"normal"
"173","ENSG00000225159","NPM1P39","1",27206930,27207796,"normal"
"174","ENSG00000272088","","1",3487246,3487627,"normal"
"175","ENSG00000228338","LINC01784","1",12822686,12823159,"normal"
"176","ENSG00000181773","GPR3","1",27392622,27395814,"normal"
"177","ENSG00000241547","ACTG1P20","1",27325329,27325796,"normal"
"178","ENSG00000224129","DPPA2P2","1",26519354,26520250,"normal"
"179","ENSG00000234166","ARHGEF19-AS1","1",16197854,16198357,"normal"
"180","ENSG00000237436","CAMTA1-DT","1",6783892,6784843,"normal"
"181","ENSG00000174950","CD164L2","1",27379176,27383333,"normal"
"182","ENSG00000235282","DYNLL1P3","1",18513118,18513383,"normal"
"183","ENSG00000055070","SZRD1","1",16352575,16398145,"normal"
"184","ENSG00000175087","PDIK1L","1",26111165,26125555,"normal"
"185","ENSG00000171735","CAMTA1","1",6785454,7769706,"normal"
"186","ENSG00000157191","NECAP2","1",16440721,16460078,"normal"
"187","ENSG00000284699","","1",24704894,24717596,"normal"
"188","ENSG00000229985","","1",27176751,27177277,"normal"
"189","ENSG00000230035","IGSF21-AS1","1",18166929,18179346,"normal"
"190","ENSG00000235185","MICOS10-DT","1",19591802,19596832,"normal"
"191","ENSG00000236782","ZNF593OS","1",26169516,26171831,"normal"
"192","ENSG00000116663","FBXO6","1",11664200,11674354,"normal"
"193","ENSG00000225643","","1",25581478,25590356,"normal"
"194","ENSG00000284666","","1",5480787,5482028,"normal"
"195","ENSG00000243659","","1",27311240,27311838,"normal"
"196","ENSG00000228943","","1",28109739,28110298,"normal"
"197","ENSG00000232848","","1",8057245,8058463,"normal"
"198","ENSG00000234397","PPIAP34","1",22322840,22323331,"normal"
"199","ENSG00000284309","","1",26046665,26049099,"normal"
"200","ENSG00000269925","","1",7776383,7776775,"normal"
"201","ENSG00000162511","LAPTM5","1",30732469,30757774,"normal"
"202","ENSG00000158014","SLC30A2","1",26037252,26046118,"normal"
"203","ENSG00000204138","PHACTR4","1",28369582,28500364,"normal"
"204","ENSG00000233419","IFITM3P7","1",25125053,25125454,"normal"
"205","ENSG00000235263","","1",9501092,9503471,"normal"
"206","ENSG00000228176","","1",29708851,29709547,"normal"
"207","ENSG00000231251","","1",30226523,30226615,"normal"
"208","ENSG00000142675","CNKSR1","1",26177484,26189884,"normal"
"209","ENSG00000197245","FAM110D","1",26159079,26163962,"normal"
"210","ENSG00000261025","","1",24968423,24970865,"normal"
"211","ENSG00000116237","ICMT","1",6221193,6235972,"normal"
"212","ENSG00000158195","WASF2","1",27404230,27490167,"normal"
"213","ENSG00000130772","MED18","1",28329002,28335965,"normal"
"214","ENSG00000215899","","1",31487589,31488930,"normal"
"215","ENSG00000237429","","1",27525805,27530561,"normal"
"216","ENSG00000271398","","1",28247144,28247568,"normal"
"217","ENSG00000225011","","1",29488193,29496893,"normal"
"218","ENSG00000240731","","1",1317581,1318689,"normal"
"219","ENSG00000235069","","1",26647447,26647681,"normal"
"220","ENSG00000284676","","1",29755175,29790597,"normal"
"221","ENSG00000237058","MMEL1-AS1","1",2632568,2636620,"normal"
"222","ENSG00000233399","LINC01648","1",30013952,30037612,"normal"
"223","ENSG00000090020","SLC9A1","1",27098809,27166981,"normal"
"224","ENSG00000225990","SNRPEP7","1",27211265,27211484,"normal"
"225","ENSG00000157978","LDLRAP1","1",25543606,25568886,"normal"
"226","ENSG00000226944","RNF207-AS1","1",6204840,6205780,"normal"
"227","ENSG00000270282","","1",8512653,8513021,"normal"
"228","ENSG00000130770","ATP5IF1","1",28236109,28246906,"normal"
"229","ENSG00000235131","TP73-AS2","1",3712200,3714298,"normal"
"230","ENSG00000229044","","1",31333067,31346799,"normal"
"231","ENSG00000162512","SDC3","1",30869466,30908758,"normal"
"232","ENSG00000179840","PIK3CD-AS1","1",9652610,9654586,"normal"
"233","ENSG00000272449","","1",2530064,2547460,"normal"
"234","ENSG00000214973","CHCHD3P3","1",27200834,27201473,"normal"
"235","ENSG00000158006","PAFAH2","1",25959767,25998117,"normal"
"236","ENSG00000214812","","1",28120449,28121321,"normal"
"237","ENSG00000142784","WDTC1","1",27234632,27308636,"normal"
"238","ENSG00000227950","","1",6834333,6834618,"normal"
"239","ENSG00000126698","DNAJC8","1",28199456,28233029,"normal"
"240","ENSG00000229447","","1",31263245,31263681,"normal"
"241","ENSG00000229607","","1",30810378,30815553,"normal"
"242","ENSG00000229994","RPL5P4","1",35350722,35351607,"normal"
"243","ENSG00000130766","SESN2","1",28259518,28282491,"normal"
"244","ENSG00000168528","SERINC2","1",31409565,31434680,"normal"
"245","ENSG00000196581","AJAP1","1",4654609,4792534,"normal"
"246","ENSG00000169403","PTAFR","1",28147166,28193936,"normal"
"247","ENSG00000117676","RPS6KA1","1",26529761,26575030,"normal"
"248","ENSG00000225126","CAMTA1-AS1","1",7441096,7441554,"normal"
"249","ENSG00000084628","NKAIN1","1",31179745,31239887,"normal"
"250","ENSG00000060688","SNRNP40","1",31259568,31296788,"normal"
"251","ENSG00000171612","SLC25A33","1",9539465,9585173,"normal"
"252","ENSG00000241169","","1",27457198,27459582,"normal"
"253","ENSG00000270927","","1",29904865,29905357,"normal"
"254","ENSG00000188910","GJB3","1",34781214,34786369,"normal"
"255","ENSG00000230523","LINC01756","1",29329620,29350114,"normal"
"256","ENSG00000116138","DNAJC16","1",15526813,15592379,"normal"
"257","ENSG00000231207","","1",27389468,27390145,"normal"
"258","ENSG00000142765","SYTL1","1",27342020,27353937,"normal"
"259","ENSG00000158161","EYA3","1",27970344,28088637,"normal"
"260","ENSG00000270330","","1",7942372,7942726,"normal"
"261","ENSG00000142684","ZNF593","1",26169908,26170873,"normal"
"262","ENSG00000234619","RPL7P11","1",8750430,8751087,"normal"
"263","ENSG00000121769","FABP3","1",31365253,31376850,"normal"
"264","ENSG00000157330","CFAP107","1",12746200,12763699,"normal"
"265","ENSG00000142627","EPHA2","1",16124337,16156069,"normal"
"266","ENSG00000284668","LINC02780","1",3976133,4012704,"normal"
"267","ENSG00000233234","","1",2811850,2812692,"normal"
"268","ENSG00000142632","ARHGEF19","1",16197854,16212652,"normal"
"269","ENSG00000234593","KAZN-AS1","1",14338825,14419973,"normal"
"270","ENSG00000162490","DRAXIN","1",11691710,11725857,"normal"
"271","ENSG00000158292","GPR153","1",6247353,6261098,"normal"
"272","ENSG00000270605","","1",28239509,28241453,"normal"
"273","ENSG00000238199","UBE2V2P3","1",11278616,11279351,"normal"
"274","ENSG00000142733","MAP3K6","1",27354067,27366961,"normal"
"275","ENSG00000189337","KAZN","1",13892792,15118043,"normal"
"276","ENSG00000270601","PRAMEF5","1",13254212,13263314,"normal"
"277","ENSG00000233268","","1",9660828,9662626,"normal"
"278","ENSG00000232912","RERE-AS1","1",8424645,8435013,"normal"
"279","ENSG00000235084","CHCHD2P6","1",15604597,15605043,"normal"
"280","ENSG00000235143","","1",30858158,30860254,"normal"
"281","ENSG00000225478","","1",18595414,18595636,"normal"
"282","ENSG00000225077","ICMT-DT","1",6234692,6239444,"normal"
"283","ENSG00000028137","TNFRSF1B","1",12166991,12209228,"normal"
"284","ENSG00000223944","","1",37154761,37325100,"normal"
"285","ENSG00000238249","HMGN2P17","1",8893409,8894151,"normal"
"286","ENSG00000227409","ZMYM4-AS1","1",35358822,35366077,"normal"
"287","ENSG00000204464","TMEM51-AS2","1",15164344,15171317,"normal"
"288","ENSG00000233372","","1",30140263,30141607,"normal"
"289","ENSG00000283259","","1",2773603,2776473,"normal"
"290","ENSG00000142687","KIAA0319L","1",35433492,35557950,"normal"
"291","ENSG00000284543","LINC01226","1",31506226,31583306,"normal"
"292","ENSG00000226166","","1",12692909,12693020,"normal"
"293","ENSG00000130939","UBE4B","1",10032832,10181239,"normal"
"294","ENSG00000175147","TMEM51-AS1","1",15111815,15153618,"normal"
"295","ENSG00000236266","","1",7810242,7827342,"normal"
"296","ENSG00000127472","PLA2G5","1",20028179,20091911,"normal"
"297","ENSG00000231103","PRAMEF30P","1",12838125,12841357,"normal"
"298","ENSG00000060656","PTPRU","1",29236516,29326813,"normal"
"299","ENSG00000163867","ZMYM6","1",34986165,35031945,"normal"
"300","ENSG00000232768","","1",31050872,31051034,"normal"
"301","ENSG00000230214","FTLP18","1",36630335,36630857,"normal"
"302","ENSG00000189280","GJB5","1",34755047,34758512,"normal"
"303","ENSG00000134698","AGO4","1",35808016,35857890,"normal"
"304","ENSG00000134690","CDCA8","1",37692481,37709719,"normal"
"305","ENSG00000272420","","1",2363061,2363628,"normal"
"306","ENSG00000224333","GAPDHP20","1",32402109,32403115,"normal"
"307","ENSG00000132881","CPLANE2","1",16231692,16237183,"normal"
"308","ENSG00000273274","ZBTB8B","1",32465072,32496686,"normal"
"309","ENSG00000116251","RPL22","1",6185020,6209389,"normal"
"310","ENSG00000272510","","1",15565611,15565956,"normal"
"311","ENSG00000158286","RNF207","1",6205475,6221299,"normal"
"312","ENSG00000236648","LINC02810","1",17717625,17749978,"normal"
"313","ENSG00000232273","FTH1P1","1",37544763,37545294,"normal"
"314","ENSG00000009709","PAX7","1",18630846,18748866,"normal"
"315","ENSG00000287396","","1",2814056,2817767,"normal"
"316","ENSG00000179002","TAS1R2","1",18839599,18859682,"normal"
"317","ENSG00000223589","","1",38080572,38080911,"normal"
"318","ENSG00000188984","AADACL3","1",12716110,12728760,"normal"
"319","ENSG00000229259","LRRC37A12P","1",32423214,32426789,"normal"
"320","ENSG00000270171","","1",7693124,7694844,"normal"
"321","ENSG00000158008","EXTL1","1",26019884,26036464,"normal"
"322","ENSG00000269732","WBP1LP7","1",439870,440232,"normal"
"323","ENSG00000130940","CASZ1","1",10636604,10796650,"normal"
"324","ENSG00000116771","AGMAT","1",15571699,15585051,"normal"
"325","ENSG00000237301","","1",15586136,15603626,"normal"
"326","ENSG00000162585","FAAP20","1",2184461,2212720,"normal"
"327","ENSG00000163879","DNALI1","1",37556919,37566857,"normal"
"328","ENSG00000227527","","1",42335386,42338376,"normal"
"329","ENSG00000169991","IFFO2","1",18904280,18956676,"normal"
"330","ENSG00000116954","RRAGC","1",38838198,38859772,"normal"
"331","ENSG00000228589","SPCS2P4","1",28095742,28096422,"normal"
"332","ENSG00000163873","GRIK3","1",36795527,37034515,"normal"
"333","ENSG00000117215","PLA2G2D","1",20111939,20119566,"normal"
"334","ENSG00000196449","YRDC","1",37802945,37808208,"normal"
"335","ENSG00000250575","","1",491225,493241,"normal"
"336","ENSG00000237700","PRAMEF33","1",13303539,13308907,"normal"
"337","ENSG00000116661","FBXO2","1",11637018,11655785,"normal"
"338","ENSG00000230163","","1",34850694,34851555,"normal"
"339","ENSG00000227538","HNRNPFP1","1",42040597,42041729,"normal"
"340","ENSG00000232208","","1",8907393,8907744,"normal"
"341","ENSG00000236500","CD24P1","1",15614643,15614867,"normal"
"342","ENSG00000044012","GUCA2B","1",42153410,42155820,"normal"
"343","ENSG00000179051","RCC2","1",17406760,17439677,"normal"
"344","ENSG00000215895","HSPA5P1","1",38708931,38710890,"normal"
"345","ENSG00000231868","","1",6443034,6447006,"normal"
"346","ENSG00000284650","","1",37133489,37136146,"normal"
"347","ENSG00000237329","","1",31036734,31037240,"normal"
"348","ENSG00000236948","","1",5561709,5668295,"normal"
"349","ENSG00000270850","","1",32421979,32422319,"normal"
"350","ENSG00000126067","PSMB2","1",35599541,35641526,"normal"
"351","ENSG00000274944","","1",38864501,38881617,"normal"
"352","ENSG00000132906","CASP9","1",15490832,15526534,"normal"
"353","ENSG00000197312","DDI2","1",15617458,15669044,"normal"
"354","ENSG00000284748","","1",37596126,37607336,"normal"
"355","ENSG00000272078","","1",10639241,10654333,"normal"
"356","ENSG00000173660","UQCRH","1",46303698,46316776,"normal"
"357","ENSG00000224592","MIR3659HG","1",38047314,38119025,"normal"
"358","ENSG00000233728","","1",37799720,37800879,"normal"
"359","ENSG00000230451","RPS29P6","1",37330852,37330996,"normal"
"360","ENSG00000231606","","1",14221887,14304445,"normal"
"361","ENSG00000215900","SELENOWP1","1",31094987,31095558,"normal"
"362","ENSG00000092847","AGO1","1",35869808,35930532,"normal"
"363","ENSG00000284632","","1",38754216,38815979,"normal"
"364","ENSG00000204510","PRAMEF7","1",12916610,12920482,"normal"
"365","ENSG00000241014","GPR199P","1",34975699,34978706,"normal"
"366","ENSG00000054118","THRAP3","1",36224432,36305357,"normal"
"367","ENSG00000254553","","1",32465057,32600792,"normal"
"368","ENSG00000230415","LINC01786","1",1275223,1280420,"normal"
"369","ENSG00000284653","","1",18015712,18045612,"normal"
"370","ENSG00000237749","","1",37556247,37556499,"normal"
"371","ENSG00000276747","PADI6","1",17372196,17401699,"normal"
"372","ENSG00000284705","","1",36703953,36710582,"normal"
"373","ENSG00000287828","","1",3313052,3323149,"normal"
"374","ENSG00000228776","","1",42140635,42141391,"normal"
"375","ENSG00000228526","MIR34AHG","1",9148011,9198906,"normal"
"376","ENSG00000159339","PADI4","1",17308195,17364004,"normal"
"377","ENSG00000223814","","1",47761132,47765547,"normal"
"378","ENSG00000197982","C1orf122","1",37806979,37809454,"normal"
"379","ENSG00000225158","HSPE1P24","1",10895761,10895998,"normal"
"380","ENSG00000261781","LINC01654","1",18065657,18074412,"normal"
"381","ENSG00000183317","EPHA10","1",37713880,37765133,"normal"
"382","ENSG00000250894","PRAMEF31P","1",13245863,13248652,"normal"
"383","ENSG00000183386","FHL3","1",37996770,38005606,"normal"
"384","ENSG00000284743","","1",20478779,20480397,"normal"
"385","ENSG00000158315","RHBDL2","1",38885807,38941830,"normal"
"386","ENSG00000243749","TMEM35B","1",34981535,34985353,"normal"
"387","ENSG00000204084","INPP5B","1",37860697,37947057,"normal"
"388","ENSG00000186973","FAM183A","1",43145153,43156396,"normal"
"389","ENSG00000271806","","1",2141084,2145279,"normal"
"390","ENSG00000146463","ZMYM4","1",35268709,35422058,"normal"
"391","ENSG00000279214","","1",48262230,48263179,"normal"
"392","ENSG00000183520","UTP11","1",38009258,38024820,"normal"
"393","ENSG00000271164","CFAP97P1","1",35873270,35873752,"normal"
"394","ENSG00000271741","","1",34981533,35031741,"normal"
"395","ENSG00000214141","ACTN4P2","1",37776670,37779418,"normal"
"396","ENSG00000142686","C1orf216","1",35713877,35718894,"normal"
"397","ENSG00000224751","SHMT1P1","1",43850300,43851611,"normal"
"398","ENSG00000279096","","1",48102068,48104736,"normal"
"399","ENSG00000117148","ACTL8","1",17755333,17827063,"normal"
"400","ENSG00000230585","PHBP12","1",50780340,50781150,"normal"
"401","ENSG00000117000","RLF","1",40161387,40240921,"normal"
"402","ENSG00000284989","","1",43650149,43931014,"normal"
"403","ENSG00000178585","CTNNBIP1","1",9848276,9910336,"normal"
"404","ENSG00000231630","","1",2814432,2814998,"normal"
"405","ENSG00000092853","CLSPN","1",35720218,35769978,"normal"
"406","ENSG00000255811","","1",34761426,34788097,"normal"
"407","ENSG00000134697","GNL2","1",37566816,37595937,"normal"
"408","ENSG00000187513","GJA4","1",34792999,34795747,"normal"
"409","ENSG00000238145","TUBAP8","1",46891639,46892830,"normal"
"410","ENSG00000225142","","1",31108188,31108623,"normal"
"411","ENSG00000230138","LINC02812","1",53366656,53368245,"normal"
"412","ENSG00000223390","","1",52033391,52044279,"normal"
"413","ENSG00000285823","LINC02793","1",25041136,25047404,"normal"
"414","ENSG00000284720","","1",36768122,36769725,"normal"
"415","ENSG00000225028","","1",47818066,47820237,"normal"
"416","ENSG00000225671","FCF1P6","1",50405430,50406024,"normal"
"417","ENSG00000116151","MORN1","1",2321253,2391707,"normal"
"418","ENSG00000226147","TUBBP10","1",52994726,52996026,"normal"
"419","ENSG00000182873","PRKCZ-AS1","1",2181794,2184389,"normal"
"420","ENSG00000286518","","1",3367815,3373928,"normal"
"421","ENSG00000006555","TTC22","1",54779712,54801323,"normal"
"422","ENSG00000236111","","1",45781277,45781957,"normal"
"423","ENSG00000066056","TIE1","1",43300982,43323108,"normal"
"424","ENSG00000214114","MYCBP","1",38862493,38873368,"normal"
"425","ENSG00000173436","MICOS10","1",19484403,19629821,"normal"
"426","ENSG00000116544","DLGAP3","1",34865436,34929650,"normal"
"427","ENSG00000231900","GOT2P1","1",55367466,55368774,"normal"
"428","ENSG00000236723","","1",53209783,53213775,"normal"
"429","ENSG00000232467","TMA16P2","1",45846994,45847594,"normal"
"430","ENSG00000117016","RIMS3","1",40620680,40665682,"normal"
"431","ENSG00000121310","ECHDC2","1",52895910,52927212,"normal"
"432","ENSG00000169213","RAB3B","1",51907956,51990700,"normal"
"433","ENSG00000163866","SMIM12","1",34712737,34859755,"normal"
"434","ENSG00000225779","","1",46370586,46370955,"normal"
"435","ENSG00000284601","","1",54974900,54980464,"normal"
"436","ENSG00000049249","TNFRSF9","1",7915871,7943165,"normal"
"437","ENSG00000237130","MRPS6P2","1",50846468,50846837,"normal"
